,0
0,2.36755941095
1,4.6712886149
2,8.70103834535
3,0.361766913247
4,6.29197345148
5,3.16474945756
6,0.93319480723
7,0.947009839224
8,0.186387490511
9,7.30201700923
10,4.02146115759
11,2.83115731095
12,6.80775835144
13,2.28636556729
14,4.46204369862
15,2.7566791129
16,1.2735310125
17,3.86688529812
18,3.65384244174
19,2.12927149059
20,8.13197945004
21,3.30430383669
22,2.45374663699
23,1.76107615009
24,5.80618378713
25,8.32057810345
26,6.97009303112
27,5.36668092928
28,3.71966370841
29,0.0856599482816
30,2.85253907649
31,0.0585729181121
32,5.62290280864
33,6.16227524084
34,8.36776938955
35,4.33318335358
36,5.10020888081
37,5.76729572457
38,9.8688571309
39,7.93317145632
40,3.96507007203
41,0.672603802431
42,7.93086136212
43,6.29364203075
44,4.02756507465
45,0.972343757886
46,5.50458374169
47,5.26616754222
48,2.12447632955
49,2.23119845662
50,0.917693662791
51,1.20351124532
52,5.78563238713
53,1.75870523621
54,8.56256393366
55,9.16288335124
56,3.38584544038
57,2.80158056848
58,1.48632508276
59,8.40700962865
60,1.80367228694
61,7.93696640843
62,5.53822345666
63,3.17760037942
64,1.61891332202
65,2.25297667911
66,1.25971663692
67,1.53611226992
68,4.45092634439
69,2.38110200465
70,3.03784254996
71,7.4976655092
72,5.12662543838
73,5.62450822048
74,6.20723271423
75,7.05141714961
76,2.56548687922
77,0.0325985103442
78,8.38388690752
79,4.4822418503
80,2.48163707889
81,9.82978089025
82,1.64570096736
83,6.54980442861
84,3.42213697747
85,4.40909927144
86,1.91313981138
87,1.5475639221
88,6.67140049409
89,4.94543391359
90,4.69829349601
91,7.08943185562
92,4.25242042766
93,6.2782459343
94,6.04585218554
95,6.37508137283
96,1.55342492535
97,5.52560980439
98,3.44286081823
99,7.93061889189
100,4.50987968278
101,1.03364591702
102,8.77638745239
103,8.61817387274
104,5.4195535316
105,2.38164093093
106,1.89070284282
107,4.45336000676
108,9.81963253472
109,9.9210834475
110,2.27589032318
111,6.1490477383
112,7.89067733894
113,7.15488808951
114,9.48447020619
115,3.08901850978
116,4.58807701713
117,2.67502976391
118,5.24572846043
119,3.52006586336
120,9.99909827371
121,0.651121777863
